date,time,opne,high,low,close,vol,maturity
01/26/2022,120100,540860,541100,540860,541100,7982,20241111
01/26/2022,130000,541100,542000,541100,542000,12111,20241111
01/26/2022,141500,542010,542440,542000,542300,10768,20241111
01/29/2022,90000,542290,543100,542290,543100,80732,20241111
01/29/2022,101100,542400,543100,542380,543000,61673,20241111
01/29/2022,110400,542990,544980,542710,542710,25774,20241111
01/29/2022,123000,544400,544400,542850,543000,2221,20241111
01/29/2022,131100,542890,544400,542890,544400,67,20241111
01/29/2022,143400,542870,544400,542740,544000,33001,20241111
01/30/2022,90000,544480,544480,542110,542330,24231,20241111
01/30/2022,100800,542340,543000,542330,542450,5025,20241111
01/30/2022,110000,543200,543990,543190,543990,20761,20241111
01/30/2022,120000,543300,543700,543190,543700,75417,20241111
01/30/2022,131000,544000,544480,544000,544480,4865,20241111
01/30/2022,143100,543510,543510,543510,543510,400,20241111
01/31/2022,90000,545480,545480,542040,544310,39392,20241111
01/31/2022,100800,544800,544890,543350,543350,42308,20241111
01/31/2022,110200,543550,544300,543310,543700,59196,20241111
01/31/2022,120800,543500,544100,543410,543900,5641,20241111
01/31/2022,130300,544490,547300,544490,547300,63678,20241111
01/31/2022,141100,546950,547380,546950,547380,40002,20241111
02/01/2022,90000,548980,548980,544090,546430,5383,20241111
02/01/2022,100500,546480,548000,546480,548000,17706,20241111
02/01/2022,111900,547100,548000,547100,547550,25218,20241111
02/01/2022,120400,547550,549370,547550,549370,113950,20241111
02/01/2022,130000,549300,549300,545660,548500,87690,20241111
02/01/2022,140100,548200,549270,548090,549270,31640,20241111
02/02/2022,90000,548000,549490,547560,549390,94449,20241111
02/02/2022,100300,548660,549390,548660,549300,90636,20241111
02/02/2022,112700,549360,549700,549110,549700,14987,20241111
02/02/2022,122100,549690,550000,549230,549230,19717,20241111
02/02/2022,130900,550990,551000,550990,551000,10,20241111
02/02/2022,141700,549310,550880,549310,550500,2717,20241111
02/05/2022,90000,550800,555000,550510,554000,152540,20241111
02/05/2022,101700,553990,553990,552100,553000,22353,20241111
02/05/2022,111000,552140,553900,552090,553900,198051,20241111
02/05/2022,121700,552220,553500,552200,553500,142931,20241111
02/05/2022,130400,553900,554390,553900,554390,5980,20241111
02/05/2022,141600,553500,553500,553500,553500,40,20241111
02/06/2022,90000,553600,555000,553500,555000,46017,20241111
02/06/2022,101300,554210,555000,554210,555000,71089,20241111
02/06/2022,110500,554980,555990,554980,555990,21383,20241111
02/06/2022,121300,555700,556790,553610,554500,49275,20241111
02/06/2022,130400,555000,555100,554800,555100,10489,20241111
02/06/2022,145200,556700,556700,555300,555300,21,20241111
02/07/2022,90000,557880,557880,555410,557000,22405,20241111
02/07/2022,100900,555690,557000,555680,555750,21712,20241111
02/07/2022,110100,555850,556400,555850,556000,122340,20241111
02/07/2022,120000,556400,557500,556400,557500,136151,20241111
02/07/2022,130600,557500,557500,557490,557500,6027,20241111
02/07/2022,142200,557250,557500,557200,557200,647,20241111
02/08/2022,90000,557200,558970,557100,558000,37468,20241111
02/08/2022,101400,557510,558490,557510,557520,20058,20241111
02/08/2022,110000,557520,559000,557520,558500,56086,20241111
02/08/2022,122000,557590,559000,557580,557580,47822,20241111
02/08/2022,131200,558030,558030,558000,558000,951,20241111
02/08/2022,141100,558000,558000,557580,557580,100027,20241111
